_id,name,cuisines,address,locationRate,qualityRate,serviceRate,priceRate,spaceRate,avgRating,priceRange,timeOpen,Final_Score_Normalized,average_score,classification
67812ec1514dba6089ed931c,Quán Lẩu Khổ Qua,Món Việt,"482 Nguyễn Trãi, Thị Xã Thuận An, Bình Dương",6.0,5.5,3.2,4.7,5.5,4.98,50.000đ - 120.000đ,10:00 - 22:00,5.921153846153846,5.450576923076923,Neutral
67812ec1514dba6089ed92d8,Trà Sữa Gong Cha - 貢茶 - Đường Số 7,Đài Loan,"385 Đường Số 7, KDC Bình Trị Đông, Tiểu Khu 1, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",6.4,5.1,4.1,5.1,6.0,5.34,30.000đ - 70.000đ,09:30 - 21:30,5.554395604395604,5.4471978021978025,Neutral
67812ec1514dba6089ed942e,Hoàng Ty - Đặc Sản Trảng Bàng - Thành Thái,Món Việt,"120 Thành Thái, Quận 10, TP. HCM",6.6,6.1,5.8,5.9,6.5,6.18,60.000đ - 110.000đ,08:30 - 21:45,4.702692307692307,5.441346153846153,Neutral
67812ec1514dba6089ed939c,Quán Ăn Tâm Ký - Tây Thạnh,Món Việt,"268 Tây Thạnh, P. Tây Thạnh, Quận Tân Phú, TP. HCM",5.6,4.8,4.7,4.7,5.4,5.04,30.000đ - 50.000đ,09:00 - 23:00,5.823076923076924,5.431538461538462,Neutral
67812ec1514dba6089ed92d1,Chả Bò Lê Thị Hường,Món Miền Trung,"4 Hoàng Diệu, Quận Hải Châu, Đà Nẵng",5.8,5.3,4.9,5.0,5.4,5.28,100.000đ - 350.000đ,07:00 - 21:00,5.503846153846153,5.391923076923076,Neutral
67812ec1514dba6089ed9453,Quán Cháo Bò Đập Đá,Món Huế,"5 Nguyễn Công Trứ, Tp. Huế, Huế",6.5,5.8,3.0,5.2,6.2,5.34,15.000đ - 20.000đ,09:00 - 21:00,5.4423076923076925,5.391153846153847,Neutral
67812ec1514dba6089ed90eb,"Vương Yến Quán - Bánh Cuốn, Bún Chả & Gà Tần - Nghĩa Tân",Món Việt,"120A15 Nghĩa Tân, P. Nghĩa Tân, Quận Cầu Giấy, Hà Nội",6.0,5.7,4.3,4.9,6.0,5.38,25.000đ - 60.000đ,07:00 - 22:00,5.38,5.38,Neutral
67812ec1514dba6089ed9290,Cơm Rang Dưa Bò Bà Dung,Hà Nội,"38 - 39 - 41 Mã Mây, Quận Hoàn Kiếm, Hà Nội",5.9,5.3,5.1,5.2,5.4,5.38,20.000đ - 55.000đ,11:00 - 02:00,5.38,5.38,Neutral
67812ec1514dba6089ed9281,Quán Ăn Ngon 3 Miền,Món Việt,"84 Duy Tân , Quận Cầu Giấy, Hà Nội",6.5,4.8,4.4,4.7,6.3,5.34,70.000đ - 165.000đ,09:00 - 22:30,5.34,5.34,Neutral
67812ec1514dba6089ed9220,Cơm Tấm Cô Kiều Sóc Trăng - Thụy Khuê,Món Việt,"254 Thụy Khuê, P. Thụy Khuê, Quận Tây Hồ, Hà Nội",5.9,5.5,4.5,5.2,5.6,5.34,30.000đ - 50.000đ,11:00 - 14:00 | 18:00 - 21:00,5.34,5.34,Neutral
